2_ [¡]	TMC - Coupled scan OmO 0.0¡ 2T 3.0¡ - 75.0¡ ContHCR MB.hdf5
3	445.8134811
3.01	365.4704011
3.02	430.7329728
3.03	423.6134195
3.04	440.3767313
3.05	487.8767556
3.06	445.8134811
3.07	445.8134811
3.08	467.5604801
3.09	429.5032318
3.1	373.3234841
3.11	436.0726377
3.12	427.4145369
3.13	417.1530841
3.14	463.2983368
3.15	434.9399815
3.16	434.2927494
3.17	471.6704041
3.18	451.2502308
3.19	444.1602004
3.2	454.0692863
3.21	395.1976587
3.22	420.8447044
3.23	457.4312975
3.24	426.3821347
3.25	428.4222406
3.26	381.5098545
3.27	385.5305261
3.28	415.0052324
3.29	405.9439828
3.3	457.4312975
3.31	412.9340896
3.32	423.6134195
3.33	423.6134195
3.34	420.4419821
3.35	450.3117443
3.36	453.0624808
3.37	413.1929825
3.38	447.625731
3.39	398.6949831
3.4	445.9088626
3.41	441.1486155
3.42	442.1889812
3.43	438.5644814
3.44	404.034648
3.45	453.8715209
3.46	449.4379809
3.47	453.8715209
3.48	415.307274
3.49	465.7169845
3.5	430.0737549
3.51	487.4952293
3.52	395.1352064
3.53	443.192191
3.54	524.5986619
3.55	483.3236351
3.56	443.192191
3.57	444.0012311
3.58	456.4008359
3.59	521.9279778
3.6	460.3114805
3.61	435.4168894
3.62	487.2938682
3.63	421.4275918
3.64	459.6067166
3.65	460.9910742
3.66	521.9279778
3.67	453.8715209
3.68	514.1066887
3.69	526.5782795
3.7	444.9720793
3.71	450.3117443
3.72	458.1494981
3.73	459.6067166
3.74	463.9359803
3.75	491.2491756
3.76	498.3687288
3.77	469.8905158
3.78	502.0603491
3.79	484.3794312
3.8	473.4502924
3.81	460.9910742
3.82	465.7482302
3.83	529.7475007
3.84	534.6137273
3.85	519.7273886
3.86	481.1836003
3.87	528.4589162
3.88	514.6789781
3.89	575.7018075
3.9	530.9892275
3.91	535.284931
3.92	507.4299785
3.93	560.2351917
3.94	516.8268299
3.95	530.4067186
3.96	496.5888405
3.97	542.6681714
3.98	518.303478
3.99	491.37408
4	510.6093643
4.01	559.7064185
4.02	498.3687288
4.03	522.8499997
4.04	576.2954755
4.05	544.5139815
4.06	558.1729763
4.07	581.1486194
4.08	561.6232213
4.09	571.8125415
4.1	541.0860485
4.11	538.2382271
4.12	540.0504771
4.13	656.7787891
4.14	586.0128846
4.15	590.0685749
4.16	599.7609875
4.17	552.5772572
4.18	539.3061601
4.19	643.1777557
4.2	585.5832564
4.21	559.5719061
4.22	616.8488417
4.23	580.5558525
4.24	574.9039265
4.25	614.0614695
4.26	656.0344721
4.27	599.8223629
4.28	627.0384734
4.29	646.9390291
4.3	634.1312446
4.31	615.5290967
4.32	665.0957218
4.33	670.0290688
4.34	630.0804643
4.35	619.0264211
4.36	660.1034861
4.37	701.2135448
4.38	712.2142198
4.39	718.7001669
4.4	672.3447215
4.41	674.1569714
4.42	649.6592358
4.43	752.254685
4.44	656.4719118
4.45	723.5575619
4.46	738.6536517
4.47	715.5151035
4.48	772.0184672
4.49	735.5235033
4.5	762.8875157
4.51	737.9354511
4.52	743.861473
4.53	828.8658859
4.54	742.2134283
4.55	812.156447
4.56	706.615662
4.57	782.3448724
4.58	761.9128702
4.59	866.9735245
4.6	851.5984945
4.61	809.8491844
4.62	782.8919668
4.63	827.1172237
4.64	782.0555437
4.65	832.3632103
4.66	776.7029623
4.67	884.8230765
4.68	846.3525079
4.69	840.8839643
4.7	847.226839
4.71	837.9977885
4.72	905.6562762
4.73	937.3165708
4.74	877.4849404
4.75	820.1225748
4.76	847.226839
4.77	839.0717144
4.78	909.9843827
4.79	909.3043474
4.8	933.979914
4.81	965.261538
4.82	959.359803
4.83	935.1209603
4.84	994.9252078
4.85	980.4272084
4.86	957.2116619
4.87	1043.753375
4.88	1067.415205
4.89	1017.359612
4.9	991.3007079
4.91	982.2394583
4.92	1129.635785
4.93	1106.903177
4.94	989.488458
4.95	1076.832432
4.96	1148.87107
4.97	1066.878242
4.98	1076.476454
4.99	1040.231456
5	1199.644726
5.01	1085.537704
5.02	1251.459252
5.03	1190.838963
5.04	1250.293478
5.05	1231.155341
5.06	1314.216796
5.07	1241.391197
5.08	1215.320233
5.09	1230.517698
5.1	1276.179923
5.11	1243.203447
5.12	1293.912885
5.13	1292.134195
5.14	1260.160929
5.15	1318.897243
5.16	1336.366517
5.17	1406.111771
5.18	1322.45702
5.19	1404.49369
5.2	1380.66596
5.21	1487.857187
5.22	1528.924065
5.23	1422.130766
5.24	1505.979686
5.25	1542.224685
5.26	1685.224628
5.27	1496.918436
5.28	1636.461681
5.29	1603.679374
5.3	1694.453678
5.31	1676.331179
5.32	1681.767929
5.33	1763.319175
5.34	1772.380425
5.35	1711.065969
5.36	1774.548652
5.37	1795.939674
5.38	1775.669323
5.39	1795.939674
5.4	1801.376424
5.41	2024.283164
5.42	1938.100612
5.43	2091.399999
5.44	2015.624637
5.45	1927.65263
5.46	1970.336367
5.47	1973.540166
5.48	2196.446907
5.49	2087.611231
5.5	2209.132656
5.51	2162.014158
5.52	2250.326491
5.53	2343.207357
5.54	2370.422899
5.55	2333.103975
5.56	2438.315151
5.57	2620.513389
5.58	2424.207888
5.59	2616.924423
5.6	2481.532567
5.61	2587.756117
5.62	2654.274934
5.63	2658.570637
5.64	2779.991382
5.65	2700.252385
5.66	2788.871407
5.67	2696.259292
5.68	3001.496193
5.69	2823.48538
5.7	3115.72746
5.71	3040.049246
5.72	3009.791145
5.73	3191.514252
5.74	3294.479597
5.75	3211.709586
5.76	3402.071813
5.77	3430.589104
5.78	3390.719606
5.79	3504.600097
5.8	3546.391874
5.81	3604.273843
5.82	3623.852614
5.83	3868.817984
5.84	3789.482976
5.85	3835.593402
5.86	3928.957833
5.87	3804.853564
5.88	4035.006815
5.89	4070.313327
5.9	4263.403427
5.91	4274.896207
5.92	4248.358334
5.93	4431.92191
5.94	4471.637849
5.95	4572.306556
5.96	4689.912038
5.97	4695.949871
5.98	4810.668711
5.99	4695.949871
6	4946.309634
6.01	4987.520894
6.02	5001.809788
6.03	5350.344282
6.04	5173.450766
6.05	5265.4573
6.06	5536.423515
6.07	5312.966627
6.08	5456.648984
6.09	5503.803016
6.1	5770.585281
6.11	5740.824396
6.12	5825.163719
6.13	5923.204633
6.14	5926.057248
6.15	6150.45643
6.16	6183.332014
6.17	6071.037242
6.18	6397.57783
6.19	6441.180741
6.2	6403.115261
6.21	6669.079717
6.22	6787.782087
6.23	6824.93321
6.24	6957.227455
6.25	6823.959965
6.26	6866.204638
6.27	7100.831481
6.28	7208.547685
6.29	7139.376339
6.3	7018.843952
6.31	7307.562213
6.32	7503.218084
6.33	7310.685892
6.34	7693.336525
6.35	7617.921998
6.36	7774.55217
6.37	7756.429671
6.38	7776.36442
6.39	7810.797168
6.4	8077.482182
6.41	8018.199104
6.42	8117.289962
6.43	8356.646845
6.44	8243.387937
6.45	8354.472145
6.46	8338.161896
6.47	8657.935172
6.48	8499.452139
6.49	8451.284444
6.5	8853.022099
6.51	8836.530625
6.52	8791.976631
6.53	9017.755617
6.54	8997.99854
6.55	9148.237612
6.56	8911.182604
6.57	9007.770475
6.58	9233.413358
6.59	9427.63184
6.6	9180.663941
6.61	9228.616226
6.62	9384.377196
6.63	9656.112704
6.64	9513.956753
6.65	9425.51185
6.66	9687.159707
6.67	9602.497472
6.68	9647.268509
6.69	9530.343538
6.7	9563.611437
6.71	9703.532309
6.72	9522.534341
6.73	9978.658397
6.74	9666.573451
6.75	9840.865592
6.76	9613.630499
6.77	9683.557809
6.78	9789.525344
6.79	9563.242844
6.8	9810.480718
6.81	9708.222838
6.82	9769.981472
6.83	9831.968733
6.84	9749.123444
6.85	9791.948784
6.86	9535.455012
6.87	9898.50908
6.88	9757.347755
6.89	9436.4202
6.9	9261.991145
6.91	9474.161387
6.92	9529.59185
6.93	9253.046065
6.94	9129.376788
6.95	9029.703043
6.96	9181.268431
6.97	9064.560456
6.98	9372.710873
6.99	8671.615882
7	8927.143121
7.01	8427.968948
7.02	8617.248384
7.03	8389.520375
7.04	8595.394782
7.05	8192.150794
7.06	8208.426122
7.07	8247.079557
7.08	8042.194635
7.09	8073.573407
7.1	7800.393511
7.11	7635.790681
7.12	7571.825907
7.13	7399.778886
7.14	7265.10858
7.15	7033.341951
7.16	7194.967796
7.17	6971.520294
7.18	6771.951551
7.19	6909.586783
7.2	6593.801643
7.21	6239.952612
7.22	6290.319483
7.23	6404.961071
7.24	5932.433683
7.25	5953.063326
7.26	5896.217616
7.27	5805.995691
7.28	5647.552048
7.29	5359.243723
7.3	5371.307411
7.31	5101.819135
7.32	5033.524161
7.33	5126.323856
7.34	4859.565265
7.35	5008.135566
7.36	4803.918568
7.37	4566.534204
7.38	4532.437058
7.39	4500.953657
7.4	4244.003175
7.41	4161.378886
7.42	3958.74028
7.43	3930.99264
7.44	3892.813515
7.45	3831.096337
7.46	3779.78479
7.47	3887.276085
7.48	3597.658031
7.49	3543.119567
7.5	3455.35652
7.51	3321.819258
7.52	3387.127468
7.53	3051.550063
7.54	3148.315556
7.55	3027.345729
7.56	2995.854283
7.57	2928.34591
7.58	2824.716342
7.59	2801.356855
7.6	2786.956107
7.61	2673.392253
7.62	2589.600587
7.63	2618.701139
7.64	2472.940003
7.65	2349.173381
7.66	2390.421236
7.67	2250.326491
7.68	2330.966721
7.69	2192.822407
7.7	2210.944906
7.71	2079.159363
7.72	2150.652745
7.73	2178.833109
7.74	2085.626114
7.75	1856.423515
7.76	1920.636409
7.77	1911.600053
7.78	1755.656855
7.79	1776.876199
7.8	1795.907312
7.81	1658.721581
7.82	1754.969881
7.83	1639.915213
7.84	1646.396693
7.85	1619.698369
7.86	1543.097249
7.87	1580.540826
7.88	1459.374089
7.89	1464.848085
7.9	1481.94173
7.91	1404.49369
7.92	1384.940468
7.93	1249.613442
7.94	1224.563162
7.95	1337.132703
7.96	1338.476015
7.97	1335.252066
7.98	1254.821264
7.99	1269.528762
8	1314.565062
8.01	1105.154514
8.02	1182.920492
8.03	991.4914711
8.04	1073.40957
8.05	1108.870422
8.06	998.4861199
8.07	1090.660795
8.08	1055.166895
8.09	994.856821
8.1	1026.995559
8.11	944.0796297
8.12	946.0262537
8.13	914.8625951
8.14	857.5703409
8.15	881.3257521
8.16	876.3767081
8.17	925.0423072
8.18	904.5862588
8.19	853.3471567
8.2	816.9687376
8.21	797.3899661
8.22	850.6638647
8.23	790.0067257
8.24	764.7694675
8.25	806.7931497
8.26	799.108479
8.27	726.1944335
8.28	731.5676812
8.29	753.673411
8.3	714.6419508
8.31	735.5235033
8.32	723.5575619
8.33	706.615662
8.34	677.7814712
8.35	660.8000182
8.36	714.901349
8.37	573.5941973
8.38	655.7483274
8.39	633.1128666
8.4	653.9996652
8.41	601.539799
8.42	573.1240382
8.43	558.8849316
8.44	520.5184501
8.45	501.8057546
8.46	553.743032
8.47	585.5832564
8.48	599.8223629
8.49	537.1307411
8.5	592.7028097
8.51	502.0603491
8.52	564.8178927
8.53	449.4379809
8.54	510.8279471
8.55	501.9285055
8.56	517.175096
8.57	529.1769775
8.58	478.4339797
8.59	454.4447053
8.6	488.9655453
8.61	435.4168894
8.62	407.7562327
8.63	457.7609065
8.64	469.8905158
8.65	433.7653751
8.66	458.1494981
8.67	478.0648177
8.68	439.9392917
8.69	463.9359803
8.7	398.6949831
8.71	459.2111859
8.72	477.010069
8.73	362.6062131
8.74	455.3722111
8.75	442.4115382
8.76	389.7955415
8.77	363.624591
8.78	375.5564349
8.79	391.4459834
8.8	347.1395973
8.81	369.942941
8.82	364.9072726
8.83	337.7832495
8.84	356.5253214
8.85	388.2030098
8.86	359.5374401
8.87	321.3619045
8.88	340.0633679
8.89	379.7913416
8.9	332.8391153
8.91	367.3162113
8.92	329.2793387
8.93	311.9419081
8.94	302.458263
8.95	283.6868149
8.96	347.1395973
8.97	309.8947368
8.98	319.7082411
8.99	325.2511704
9	277.6625775
9.01	336.8285202
9.02	312.7019475
9.03	297.3027244
9.04	306.1407906
9.05	276.4535968
9.06	299.0212373
9.07	302.6457371
9.08	262.9324673
9.09	293.3793272
9.1	261.2139544
9.11	297.1754272
9.12	311.9419081
9.13	270.5430242
9.14	323.9396737
9.15	251.9027393
9.16	291.4986905
9.17	251.7184427
9.18	260.9639889
9.19	241.801124
9.2	228.3434903
9.21	266.4007387
9.22	218.5827758
9.23	263.9508453
9.24	256.0584159
9.25	276.4535968
9.26	248.2782395
9.27	300.8011256
9.28	230.1557402
9.29	254.5240294
9.3	240.7214992
9.31	250.0290572
9.32	280.5631362
9.33	230.1557402
9.34	244.6537396
9.35	253.7149892
9.36	204.6871565
9.37	210.2209911
9.38	261.6435826
9.39	227.0346431
9.4	215.3664864
9.41	243.8446995
9.42	242.8414897
9.43	201.1933016
9.44	241.0292398
9.45	225.1251844
9.46	199.3474915
9.47	302.7128575
9.48	202.9072682
9.49	242.8414897
9.5	241.0292398
9.51	210.2209911
9.52	292.0265885
9.53	236.2636937
9.54	233.7802401
9.55	227.3260868
9.56	201.1597415
9.57	204.8849219
9.58	222.9067405
9.59	201.0961537
9.6	204.7842413
9.61	226.5312404
9.62	188.473992
9.63	217.4699908
9.64	215.3664864
9.65	193.9107418
9.66	201.1597415
9.67	183.0372422
9.68	199.3474915
9.69	194.1015049
9.7	214.1139724
9.71	182.7352006
9.72	188.6681616
9.73	186.6617421
9.74	160.876923
9.75	214.1139724
9.76	170.8692785
9.77	201.1597415
9.78	183.0372422
9.79	163.7497252
9.8	199.3474915
9.81	192.2279383
9.82	181.2249923
9.83	199.3474915
9.84	167.3766674
9.85	154.0412435
9.86	195.7877149
9.87	179.4127424
9.88	179.76872
9.89	186.4268208
9.9	176.6148829
9.91	180.8893905
9.92	190.4480499
9.93	172.6491668
9.94	167.9687197
9.95	181.2249923
9.96	181.5486084
9.97	161.9698369
9.98	177.6004925
9.99	175.3519601
10	188.6681616
10.01	165.5296135
10.02	173.9759926
10.03	181.2249923
